date,open,high,low,close,volume,marketcap
2019-07-06,287.89,295.99,286.67,287.55,7674615025,30707785756
2019-07-05,284.38,293.92,282.69,288.0,8723493015,30751916427
2019-07-04,303.03,303.96,282.77,284.52,8403513106,30377082394
2019-07-03,291.76,303.34,291.4,303.1,9926711979,32356299765
2019-07-02,293.54,295.66,272.6,291.6,10618413952,31124332021
2019-07-01,290.27,301.03,280.02,293.64,10292223948,31338571563
2019-06-30,319.58,322.79,290.7,290.7,10303111000,31020295932
2019-06-29,311.28,322.04,294.75,320.06,10929374565,34149263832
2019-06-28,294.14,313.03,292.94,311.23,11514656820,33202586960
2019-06-27,336.96,343.43,278.57,294.27,14038092503,31389390615
2019-06-26,317.99,361.4,315.95,336.75,16437084081,35916727561
2019-06-25,310.68,318.13,307.64,318.13,9641764965,33925713000
2019-06-24,307.72,312.33,299.56,310.42,8205712062,33100160024
2019-06-23,309.42,318.57,305.76,307.83,8161062380,32819043043
2019-06-22,295.12,315.19,294.73,309.38,10613731255,32980338717
2019-06-21,271.74,295.3,271.74,294.91,9331694140,31433771859
2019-06-20,269.41,274.07,265.5,271.7,6408981097,28955655290
2019-06-19,265.06,270.33,264.75,269.43,5516510947,28710780975
2019-06-18,274.32,274.32,263.14,265.05,6205242504,28240458529
2019-06-17,269.09,275.44,268.35,274.35,6009795781,29227567867
2019-06-16,268.9,278.14,265.54,269.22,9676746453,28677606760
2019-06-15,263.93,271.51,262.12,269.02,8126853944,28652203067
2019-06-14,256.18,265.37,254.15,264.09,8676891267,28123338884
2019-06-13,260.91,262.16,255.6,256.17,8442077836,27276572627
2019-06-12,245.93,261.02,244.49,260.9,8645598618,27777154177
2019-06-11,247.86,248.66,239.83,245.78,7382269700,26163906569
2019-06-10,232.83,247.66,229.34,247.52,8141159848,26345596475
2019-06-09,245.54,245.97,229.26,233.09,7566421456,24806123509
2019-06-08,251.25,252.38,243.23,245.74,7225996863,26149221979
2019-06-07,249.34,254.35,246.6,250.93,8379534528,26698353830
2019-06-06,246.93,249.94,238.5,249.47,8265146806,26540057659
2019-06-05,241.5,248.14,239.98,247.05,8548917062,26278874480
2019-06-04,252.51,252.51,236.13,241.34,10132549747,25667971281
2019-06-03,270.09,270.33,251.26,252.61,9375712917,26863086906
2019-06-02,265.51,272.81,265.04,270.23,8744111713,28732949885
2019-06-01,268.43,273.56,263.52,265.39,9942869852,28215330784
2019-05-31,256.02,268.66,249.11,268.11,11255023515,28501098831
2019-05-30,269.55,287.2,247.35,255.86,13604268584,27194892741
2019-05-29,271.78,273.76,263.09,269.46,9819132174,28636457373
2019-05-28,272.59,274.32,267.51,271.77,10362846898,28878512607
2019-05-27,267.14,278.51,265.44,272.86,12074664736,28991071396
2019-05-26,251.72,269.17,247.25,267.07,9664267731,28371943145
2019-05-25,249.69,257.36,249.09,251.76,8924985385,26742086786
2019-05-24,245.99,255.26,243.24,249.48,9929433206,26497014858
2019-05-23,244.67,247.62,233.79,245.97,10671663487,26119891327
2019-05-22,255.0,258.8,242.73,244.7,9818257463,25982060192
2019-05-21,251.65,262.11,248.2,255.22,11545049593,27095257004
2019-05-20,261.27,261.55,241.8,251.86,10834541285,26736046292
2019-05-19,234.45,263.74,233.76,261.29,12049250894,27733299057
2019-05-18,243.91,246.36,233.1,234.6,10933142646,24896520187
2019-05-17,263.85,266.98,227.77,243.76,16037551694,25866318005
2019-05-16,246.94,275.39,245.8,264.01,18661465873,28010958253
2019-05-15,217.01,247.45,216.82,247.15,13460006534,26219111162
2019-05-14,196.74,217.87,196.05,217.15,12751049755,23033114137
2019-05-13,187.42,205.1,185.31,196.85,10367149039,20876934045
2019-05-12,194.16,201.88,183.65,187.33,10326050090,19864635091
2019-05-11,173.14,203.47,173.14,194.3,12578331654,20602050120
2019-05-10,170.31,175.89,168.99,173.14,8036919053,18355936406
2019-05-09,170.95,172.88,167.25,170.29,6546914198,18051087500
2019-05-08,169.9,172.18,166.41,170.95,6416569598,18118602844
2019-05-07,172.43,180.39,169.69,169.8,8411140170,17994460619
2019-05-06,163.34,175.76,159.99,172.65,7540096853,18294624766
2019-05-05,164.02,165.4,159.7,163.45,5938415562,17317292591
2019-05-04,167.89,170.65,161.79,164.03,6658100049,17376070198
2019-05-03,162.08,170.07,161.08,167.95,7299410672,17789626262
2019-05-02,160.85,162.94,160.06,162.12,6044171062,17169962760
2019-05-01,162.19,164.06,159.66,160.82,5789172433,17029616915
2019-04-30,155.17,162.43,155.17,162.17,6275803460,17170110493
2019-04-29,157.29,158.33,153.19,155.2,6053776253,16430642271
2019-04-28,158.5,159.57,157.13,157.3,5379894433,16650076837
2019-04-27,156.27,160.59,155.62,158.43,5863109118,16768575998
2019-04-26,154.58,158.03,152.09,156.35,7505283355,16545462357
2019-04-25,165.91,166.51,153.85,154.46,6820332362,16343573973
2019-04-24,171.35,171.57,161.98,165.83,7351304156,17544029659
