time,ID,USD,generation,color,is_fancy,is_exclusive,fancy_type,is_prestige,prestige_type,prestige_ranking,fancy_ranking,prestige_time_limit,enhanced_cattributes_eyes,enhanced_cattributes_pattern,enhanced_cattributes_body,enhanced_cattributes_mouth,enhanced_cattributes_colorprimary,enhanced_cattributes_colorsecondary,enhanced_cattributes_colortertiary,enhanced_cattributes_coloreyes,status_cooldown_index,status_is_ready,status_is_gestating,purrs_count,purrs_is_purred,watchlist_count,watchlist_is_watchlisted
2019-07-07T06:37:59.000Z,1561681,1.1,5,eclipse,False,False,,False,,,,,selkirk,splat,wiley,ducky,fangtastic,greymatter,royalpurple,frosting,3,True,False,0,False,0,False
2019-07-07T06:32:17.000Z,1553924,0.32,8,doridnudibranch,False,False,,False,,,,,spock,ragdoll,baddate,salty,rollercoaster,ducky,greymatter,cerulian,9,True,False,0,False,0,False
2019-07-07T06:31:26.000Z,1555773,0.32,7,coralsunrise,False,False,,False,,,,,thicccbrowz,moue,tiger,salty,highlander,ducky,salmon,swampgreen,7,True,False,0,False,0,False
2019-07-07T06:29:29.000Z,1554209,0.34,6,sapphire,False,False,,False,,,,,totesbasic,savannah,moue,baddate,salty,ducky,salmon,coffee,9,True,False,0,False,0,False
2019-07-07T06:26:32.000Z,1552162,0.33,8,sapphire,False,False,,False,,,,,thicccbrowz,grim,salty,koladiviya,rorschach,ducky,cottoncandy,swampgreen,12,False,False,0,False,0,False
2019-07-07T06:25:51.000Z,1151860,26.89,11,kaleidoscope,False,False,,False,,,,,soserious,kaleidoscope,wiley,rascal,koladiviya,shadowgrey,royalpurple,flamingo,5,True,False,0,False,0,False
2019-07-07T06:22:56.000Z,1639876,0.35,9,parakeet,False,False,,False,,,,,saycheese,ragdoll,spangled,wonky,salty,dragontail,bananacream,swampgreen,4,True,False,0,False,0,False
2019-07-07T06:17:30.000Z,1639762,0.36,7,strawberry,False,False,,False,,,,,happygokitty,splat,wonky,savannah,salty,salmon,rosequartz,cobalt,3,True,False,0,False,0,False
2019-07-07T06:14:19.000Z,1554853,1.94,14,sapphire,False,False,,False,,,,,himalayan,otaku,whixtensions,amur,salty,ducky,cottoncandy,coffee,9,True,False,1,False,0,False
2019-07-07T06:10:08.000Z,1639788,0.37,7,olive,False,False,,False,,,,,sphynx,olive,spock,pouty,salty,swarley,ducky,mauveover,3,True,False,0,False,0,False
2019-07-07T05:59:15.000Z,1549581,0.37,8,thundergrey,False,False,,False,,,,,selkirk,otaku,grim,rascal,salty,ducky,salmon,rosequartz,5,True,False,1,False,0,False
2019-07-07T05:58:13.000Z,1555728,0.36,6,sizzurp,False,False,,False,,,,,ragdoll,grimace,tiger,wiley,salty,ducky,bananacream,butterscotch,10,True,False,0,False,0,False
2019-07-07T05:51:18.000Z,525619,2.89,1,sapphire,False,False,,False,,,,,selkirk,happygokitty,spangled,wonky,sapphire,shadowgrey,apricot,icy,1,True,False,2,False,0,False
2019-07-07T05:26:09.000Z,1010032,26.39,3,sapphire,False,False,,False,,,,,soserious,fox,wiley,rascal,tundra,poisonberry,cashewmilk,sapphire,1,True,False,3,False,0,False
2019-07-07T05:26:09.000Z,1624399,1.95,12,forgetmenot,False,False,,False,,,,,mainecoon,confuzzled,slyboots,moonrise,salty,dragontail,shadowgrey,universe,8,False,False,1,False,0,False
2019-07-07T05:11:42.000Z,1566391,3.0,8,chestnut,True,False,Krakitten,False,,,1191,,,,,,,,,,10,False,False,1,False,0,False
2019-07-07T05:09:24.000Z,589486,50.46,0,sapphire,False,False,,False,,,,,happygokitty,slyboots,sapphire,cottoncandy,morningglory,tiger,bobtail,egyptiankohl,0,True,False,4,False,0,False
2019-07-07T05:08:17.000Z,1455614,3.36,16,thundergrey,True,False,Pizzazz,False,,,1284,,,,,,,,,,9,False,False,0,False,0,False
2019-07-07T05:02:56.000Z,1012168,2.9,1,dahlia,False,False,,False,,,,,happygokitty,tiger,wiley,koladiviya,greymatter,skyblue,cashewmilk,dahlia,1,True,False,1,False,0,False
2019-07-07T04:57:03.000Z,1043670,35.7,7,cyan,False,False,,False,,,,,totesbasic,tongue,fox,wiley,tundra,coffee,frosting,cyan,3,True,False,1,False,0,False
2019-07-07T04:31:54.000Z,1307396,3.76,5,cyan,False,False,,False,,,,,whixtensions,ragdoll,wiley,rascal,dragonwings,bananacream,swampgreen,cashewmilk,3,True,False,1,False,0,False
2019-07-07T04:29:45.000Z,1630643,5.54,6,olive,False,False,,False,,,,,olive,moonrise,salty,swarley,manul,impish,redvelvet,rosequartz,7,True,False,1,False,0,False
2019-07-07T04:26:19.000Z,857510,5.43,8,parakeet,False,False,,False,,,,,soserious,ragdoll,amur,sass,juju,bananacream,poisonberry,azaleablush,6,True,False,3,False,0,False
2019-07-07T04:25:24.000Z,1153115,1.28,1,olive,False,False,,False,,,,,olive,amur,grim,chronic,koladiviya,greymatter,egyptiankohl,shale,1,True,False,0,False,0,False
2019-07-07T04:25:12.000Z,1306036,1.42,1,cyan,False,False,,False,,,,,soserious,slyboots,koladiviya,rorschach,bananacream,lemonade,sandalwood,cyan,2,True,False,0,False,0,False
2019-07-07T04:21:50.000Z,1549907,1.02,9,chestnut,False,False,,False,,,,,chantilly,stunned,camo,salty,ducky,fangtastic,aquamarine,egyptiankohl,6,True,False,3,False,0,False
2019-07-07T04:15:14.000Z,1635351,2.61,19,dahlia,False,False,,False,,,,,mainecoon,thicccbrowz,mittens,rollercoaster,dragontail,redvelvet,lemonade,atlantis,10,False,False,0,False,0,False
