time,ID,USD
2019-06-30T02:21:40.000Z,1632691,0.96
2019-06-30T02:16:25.000Z,1093660,0.4
2019-06-30T02:05:20.000Z,1063243,0.38
2019-06-30T02:04:43.000Z,1043057,0.39
2019-06-30T01:45:54.000Z,1634788,14.65
2019-06-30T01:39:58.000Z,1625594,0.37
2019-06-30T00:57:48.000Z,3459,32.13
2019-06-30T00:54:51.000Z,1606923,1.61
2019-06-30T00:17:36.000Z,3301,321.7
2019-06-29T23:17:00.000Z,983049,0.36
2019-06-29T23:04:25.000Z,1068517,0.93
2019-06-29T23:03:48.000Z,774969,2.65
2019-06-29T22:54:23.000Z,1567896,0.68
2019-06-29T22:54:10.000Z,1537924,0.63
2019-06-29T22:54:01.000Z,1619813,0.63
2019-06-29T22:51:55.000Z,1575233,0.63
2019-06-29T22:51:40.000Z,1223948,0.63
2019-06-29T22:51:15.000Z,1585120,0.63
2019-06-29T22:50:57.000Z,1541586,0.34
2019-06-29T22:50:57.000Z,1186627,0.6
2019-06-29T22:49:20.000Z,1443752,0.6
2019-06-29T22:45:56.000Z,830921,38.45
2019-06-29T22:18:30.000Z,1258155,0.38
2019-06-29T22:06:56.000Z,1219205,0.31
2019-06-29T22:06:19.000Z,1162202,0.31
2019-06-29T22:03:31.000Z,1220066,0.31
2019-06-29T21:55:53.000Z,616678,1.55
2019-06-29T21:54:56.000Z,1220132,0.31
2019-06-29T21:54:56.000Z,1221113,0.31
2019-06-29T21:54:56.000Z,1224576,0.31
2019-06-29T21:54:56.000Z,1227945,0.31
2019-06-29T21:06:52.000Z,1632530,0.34
2019-06-29T20:36:30.000Z,1207469,0.34
2019-06-29T20:36:30.000Z,865002,0.34
2019-06-29T20:36:30.000Z,1218479,0.34
2019-06-29T20:32:05.000Z,1359720,5.56
2019-06-29T20:25:42.000Z,1628680,18.28
2019-06-29T20:24:45.000Z,1274799,1.57
2019-06-29T19:53:08.000Z,1635931,0.37
2019-06-29T19:50:57.000Z,1582511,0.37
2019-06-29T19:44:47.000Z,427965,8.98
2019-06-29T19:44:29.000Z,644938,1.47
2019-06-29T19:26:04.000Z,1333224,0.47
2019-06-29T19:24:04.000Z,1614094,0.93
2019-06-29T19:14:57.000Z,1060598,0.94
2019-06-29T19:14:22.000Z,1127401,1.66
2019-06-29T19:13:54.000Z,1149580,1.46
2019-06-29T19:12:44.000Z,1511619,1.56
2019-06-29T17:55:30.000Z,1433953,0.39
2019-06-29T17:55:16.000Z,993794,0.37
2019-06-29T17:55:10.000Z,975702,0.37
2019-06-29T17:55:08.000Z,1143459,0.37
2019-06-29T17:54:47.000Z,1113403,0.36
2019-06-29T17:54:47.000Z,1132367,0.36
2019-06-29T17:54:47.000Z,983051,0.36
2019-06-29T17:54:47.000Z,993797,0.35
2019-06-29T17:54:47.000Z,1147202,0.34
2019-06-29T17:51:02.000Z,1578923,1.53
2019-06-29T17:48:11.000Z,633413,1.42
2019-06-29T17:47:02.000Z,579671,1.53
2019-06-29T17:38:04.000Z,1628891,0.46
2019-06-29T17:36:31.000Z,1339886,0.38
2019-06-29T17:31:24.000Z,878801,2.77
2019-06-29T17:15:41.000Z,1620185,2.71
2019-06-29T17:07:40.000Z,1083473,2.44
2019-06-29T17:04:39.000Z,1032521,0.91
2019-06-29T17:03:29.000Z,1616963,0.61
2019-06-29T17:03:29.000Z,1616758,1.53
2019-06-29T17:01:45.000Z,1028347,0.91
2019-06-29T17:01:45.000Z,1126469,1.51
2019-06-29T16:52:29.000Z,624415,1.52
2019-06-29T16:31:28.000Z,1200925,0.37
2019-06-29T16:21:28.000Z,983069,0.33
2019-06-29T16:16:16.000Z,1197809,2.73
2019-06-29T16:15:10.000Z,1115898,1.44
2019-06-29T16:10:50.000Z,1636212,3.04
2019-06-29T16:08:41.000Z,1033794,0.35
2019-06-29T16:00:59.000Z,1043059,0.36
2019-06-29T15:55:29.000Z,1109044,0.37
2019-06-29T15:46:54.000Z,1034430,0.36
2019-06-29T15:34:55.000Z,1569447,3.69
2019-06-29T15:32:31.000Z,1625616,18.05
2019-06-29T15:32:31.000Z,1407834,2.76
2019-06-29T15:30:53.000Z,1632978,15.36
2019-06-29T15:18:21.000Z,1033647,0.33
2019-06-29T15:01:09.000Z,1620808,2.45
2019-06-29T14:55:23.000Z,1620490,0.36
2019-06-29T14:50:16.000Z,1375509,2.46
2019-06-29T14:49:39.000Z,1059993,1.55
2019-06-29T14:48:49.000Z,1614124,0.92
2019-06-29T14:05:10.000Z,1037661,0.37
2019-06-29T13:46:52.000Z,1099067,0.37
2019-06-29T13:42:50.000Z,627979,1.42
2019-06-29T13:31:05.000Z,1059121,0.37
2019-06-29T13:03:22.000Z,1125881,1.62
2019-06-29T12:58:00.000Z,1175766,1.76
2019-06-29T12:54:28.000Z,1158438,1.54
2019-06-29T12:54:24.000Z,650641,1.45
2019-06-29T12:54:18.000Z,685221,1.45
2019-06-29T12:53:25.000Z,627780,1.44
2019-06-29T12:53:23.000Z,1152331,1.53
2019-06-29T12:53:12.000Z,633719,1.45
2019-06-29T12:53:12.000Z,651887,1.45
2019-06-29T12:52:55.000Z,677655,1.45
2019-06-29T12:52:44.000Z,1160455,1.5
2019-06-29T12:52:44.000Z,1060031,1.53
2019-06-29T12:52:41.000Z,1168032,1.54
2019-06-29T12:41:26.000Z,1616591,2.46
2019-06-29T12:38:45.000Z,1041007,0.38
2019-06-29T12:36:41.000Z,1530899,4.03
2019-06-29T12:23:34.000Z,1109348,2.46
2019-06-29T12:17:00.000Z,1107595,0.45
2019-06-29T12:14:03.000Z,627755,1.47
2019-06-29T12:05:23.000Z,1035719,0.39
2019-06-29T11:52:12.000Z,1635195,13.41
2019-06-29T11:51:19.000Z,1636497,30.86
2019-06-29T11:50:46.000Z,1636449,5.87
2019-06-29T11:47:22.000Z,1121857,0.36
2019-06-29T11:35:47.000Z,1099531,0.36
2019-06-29T11:35:29.000Z,1093176,1.53
2019-06-29T11:35:29.000Z,1159364,1.51
2019-06-29T11:35:27.000Z,1016757,1.54
