time,ID,USD,generation,color,is_fancy,is_exclusive,fancy_type,is_prestige,prestige_type,prestige_ranking,fancy_ranking,prestige_time_limit,enhanced_cattributes_eyes,enhanced_cattributes_pattern,enhanced_cattributes_body,enhanced_cattributes_mouth,enhanced_cattributes_colorprimary,enhanced_cattributes_colorsecondary,enhanced_cattributes_colortertiary,enhanced_cattributes_coloreyes,status_cooldown_index,status_is_ready,status_is_gestating,purrs_count,purrs_is_purred,watchlist_count,watchlist_is_watchlisted
2019-06-30T02:21:40.000Z,1632691,0.96,11,thundergrey,False,False,,False,,,,,confuzzled,serpent,birman,moonrise,dragontail,frozen,greymatter,chocolate,5,True,False,1,False,0,False
2019-06-30T02:16:25.000Z,1093660,0.4,2,mintgreen,False,False,,False,,,,,calicool,chronic,majestic,highlander,nachocheez,egyptiankohl,purplehaze,mintgreen,1,True,False,1,False,0,False
2019-06-30T02:05:20.000Z,1063243,0.38,4,cyan,False,False,,False,,,,,sphynx,soserious,swarley,rorschach,aflutter,shadowgrey,padparadscha,belleblue,2,True,False,1,False,0,False
2019-06-30T02:04:43.000Z,1043057,0.39,2,doridnudibranch,False,False,,False,,,,,soserious,birman,swarley,rorschach,cinderella,royalpurple,purplehaze,doridnudibranch,1,True,False,0,False,0,False
2019-06-30T01:45:54.000Z,1634788,14.65,14,cyan,True,False,Magmeow,False,,,509,,,,,,,,,,7,True,False,2,False,0,False
2019-06-30T01:39:58.000Z,1625594,0.37,15,mintgreen,False,False,,False,,,,,mainecoon,moue,moonrise,swarley,cloudwhite,universe,belleblue,mintgreen,10,True,False,0,False,0,False
2019-06-30T00:57:48.000Z,3459,32.13,8,strawberry,False,False,,False,,,,,sphynx,strawberry,otaku,luckystripe,soserious,greymatter,royalpurple,kittencream,13,True,False,3,False,0,False
2019-06-30T00:54:51.000Z,1606923,1.61,14,sapphire,True,False,Curdlin,False,,,3408,,,,,,,,,,7,True,False,0,False,0,False
2019-06-30T00:17:36.000Z,3301,321.7,6,bubblegum,False,False,,False,,,,,munchkin,bubblegum,simple,luckystripe,pouty,orangesoda,coffee,kittencream,10,True,False,1,False,0,False
2019-06-29T23:17:00.000Z,983049,0.36,12,eclipse,False,False,,False,,,,,selkirk,pouty,leopard,caffeine,onyx,padparadscha,shale,eclipse,8,True,False,0,False,0,False
